Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
17655,0.5,Fair,G,VS1,65.8,57.0,5.03,4.91,3.27,1350
26699,1.05,Good,G,SI2,63.7,59.0,6.41,6.37,4.07,3898
5170,1.6,Fair,D,SI2,64.7,58.0,7.35,7.28,4.73,8666
13733,0.7,Good,E,SI1,61.9,58.0,5.63,5.67,3.5,2239
22345,0.3,Ideal,E,VS2,62.0,53.0,4.31,4.33,2.68,603
23183,0.53,Ideal,G,VVS2,61.0,56.0,5.21,5.25,3.19,1946
12143,1.01,Premium,H,VS2,62.3,58.0,6.45,6.36,3.99,4412
15998,0.72,Ideal,J,VVS1,62.4,58.0,5.71,5.76,3.58,2139
5026,0.36,Ideal,F,VS1,60.7,59.0,4.59,4.61,2.79,775
23876,0.3,Premium,D,VS2,61.1,59.0,4.26,4.31,2.62,710
19407,0.28,Good,E,VS1,64.3,55.0,4.14,4.16,2.67,470
21828,1.26,Ideal,E,VVS2,61.1,57.0,7.0,6.98,4.27,14429
11321,0.52,Ideal,G,SI1,62.6,56.0,5.16,5.13,3.22,1338
21340,1.04,Premium,I,SI1,62.5,62.0,6.45,6.39,4.01,4252
22052,1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,7056
13839,1.55,Premium,H,SI2,58.0,60.0,7.61,7.58,4.41,6458
20228,1.5,Ideal,G,VS1,61.3,53.9,7.37,7.42,4.53,13820
3953,0.54,Ideal,D,VS2,61.9,55.0,5.23,5.24,3.24,1817
17979,0.7,Very Good,F,SI1,59.8,59.0,5.78,5.82,3.47,2161
25721,0.54,Ideal,G,VVS2,61.0,56.0,5.3,5.25,3.22,2090
11775,0.54,Premium,D,SI1,60.0,58.0,5.26,5.3,3.17,1551
11277,0.28,Very Good,D,VS1,61.7,58.0,4.19,4.24,2.6,487
5746,1.66,Ideal,H,VS2,60.1,59.0,7.67,7.64,4.6,12244
16027,0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3468
18875,0.33,Ideal,F,IF,61.2,56.0,4.47,4.49,2.74,1240
17055,0.41,Ideal,F,SI1,60.5,56.0,4.81,4.84,2.92,909
12714,1.14,Ideal,G,VVS2,62.3,55.0,6.64,6.72,4.18,8743
22791,2.08,Good,I,SI2,63.8,58.0,8.1,8.02,5.14,14084
15236,0.4,Premium,F,VVS2,60.8,59.0,4.76,4.72,2.88,1163
3693,0.6,Fair,F,VVS2,60.1,66.0,5.48,5.44,3.28,2484
13590,0.58,Ideal,E,VS2,62.0,57.0,5.33,5.35,3.31,1752
26400,0.51,Good,G,SI1,63.7,55.0,5.07,5.1,3.24,1172
6645,0.28,Good,F,VS1,58.3,58.0,4.33,4.35,2.53,487
17075,0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,687
11181,0.25,Very Good,D,VVS2,63.0,56.0,3.98,4.02,2.52,512
15148,0.32,Premium,D,SI1,60.4,58.0,4.47,4.44,2.69,756
10534,0.46,Ideal,E,VVS2,62.6,55.0,4.95,4.92,3.09,1736
20096,0.5,Premium,G,VS1,59.8,58.0,5.19,5.15,3.09,1746
25943,0.53,Ideal,E,VS2,60.8,55.0,5.26,5.3,3.21,1707
7882,0.41,Ideal,F,VS1,62.0,57.0,4.76,4.73,2.94,1076
2193,1.02,Premium,J,SI1,61.8,58.0,6.5,6.44,4.0,3856
6890,1.01,Very Good,F,VS2,59.1,59.0,6.58,6.65,3.91,6196
21575,1.54,Ideal,H,SI1,61.1,56.0,7.45,7.42,4.54,9562
10056,0.53,Ideal,F,VS1,61.5,56.0,5.26,5.22,3.22,1856
25666,2.04,Premium,H,SI1,63.0,58.0,8.1,8.03,5.08,18115
1512,0.33,Premium,G,VS1,62.4,59.0,4.47,4.41,2.77,854
13407,0.31,Ideal,D,VS2,60.8,56.0,4.39,4.42,2.68,692
16129,0.7,Good,E,VS1,57.2,59.0,5.94,5.88,3.38,2826
375,1.39,Ideal,J,VS2,60.9,57.0,7.2,7.25,4.4,6831
18682,0.63,Very Good,G,VS1,61.5,56.0,5.53,5.49,3.39,1960
12027,0.92,Ideal,H,VS1,60.9,57.0,6.33,6.29,3.84,4328
17432,0.9,Good,G,VS1,63.6,58.0,6.09,6.12,3.88,4540
5227,0.9,Ideal,H,SI2,62.1,55.0,6.17,6.2,3.84,4001
8034,0.32,Premium,E,VS1,61.3,58.0,4.36,4.39,2.68,677
15439,0.31,Ideal,G,VS2,62.2,53.0,4.37,4.38,2.72,562
17487,0.25,Premium,E,VS1,61.5,60.0,4.04,4.02,2.48,558
10560,0.41,Premium,D,SI2,62.0,58.0,4.74,4.78,2.95,683
20872,1.01,Premium,F,SI2,61.6,58.0,6.39,6.4,3.94,4416
3398,0.26,Premium,E,VVS1,62.9,58.0,4.08,4.06,2.56,769
24376,0.28,Very Good,E,VVS1,62.1,57.0,4.17,4.21,2.6,707
26090,0.32,Ideal,G,IF,61.3,56.0,4.4,4.44,2.71,905
16714,0.93,Very Good,H,SI1,59.3,61.0,6.33,6.39,3.77,3838
18068,0.42,Premium,G,VS2,59.5,59.0,4.83,4.89,2.89,847
13248,0.3,Very Good,I,SI1,60.5,62.0,4.33,4.37,2.63,394
48,0.52,Ideal,G,VVS2,61.7,55.0,5.21,5.23,3.22,2338
6729,0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,1662
4775,0.78,Ideal,G,SI1,60.6,57.0,5.95,5.97,3.61,3004
3666,1.31,Ideal,F,SI1,61.6,55.0,7.04,7.09,4.35,9331
18855,1.36,Ideal,G,VVS2,61.1,57.0,7.2,7.14,4.38,11956
14946,0.56,Ideal,E,VS1,61.2,56.0,5.3,5.34,3.26,2085
17493,0.83,Ideal,F,SI2,62.3,55.0,6.02,6.05,3.76,2790
17749,0.46,Ideal,E,SI2,61.3,56.0,5.02,4.96,3.06,1116
12790,0.39,Ideal,I,SI1,62.4,54.0,4.67,4.69,2.92,534
9799,0.62,Premium,F,SI1,61.7,59.0,5.51,5.48,3.39,1595
24303,0.34,Ideal,D,IF,62.1,57.0,4.46,4.52,2.79,2287
9064,0.3,Ideal,F,VS2,60.3,57.0,4.34,4.39,2.63,568
14711,1.2,Very Good,G,SI2,61.7,59.0,6.81,6.86,4.22,5518
18527,0.72,Ideal,J,VVS1,62.5,56.0,5.71,5.74,3.58,2249
7770,0.32,Very Good,F,SI2,62.6,56.0,4.37,4.41,2.75,421
21725,1.2,Premium,G,SI1,63.0,58.0,6.72,6.68,4.22,6026
1903,1.06,Ideal,G,SI2,61.0,56.0,6.62,6.56,4.02,3321
5551,0.9,Very Good,E,VS2,62.2,59.0,6.13,6.18,3.83,4580
13466,1.57,Ideal,F,SI1,61.1,55.0,7.53,7.55,4.61,12320
11952,1.21,Very Good,J,SI1,61.6,59.0,6.8,6.83,4.2,4990
7661,1.05,Premium,E,IF,59.0,58.0,6.7,6.66,3.94,11946
2725,0.32,Very Good,E,SI1,63.3,56.0,4.35,4.34,2.75,720
8645,0.41,Premium,F,VVS2,60.1,59.0,4.82,4.79,2.89,1192
21697,0.51,Good,D,VS2,63.7,57.0,5.05,5.0,3.2,1665
14605,0.91,Premium,D,SI1,61.5,59.0,6.25,6.18,3.82,4165
2366,0.9,Very Good,G,SI1,63.4,54.0,6.11,6.16,3.89,3615
10882,0.66,Ideal,D,VVS2,61.3,57.0,5.59,5.63,3.44,3915
17826,1.51,Premium,E,SI1,58.3,59.0,7.52,7.47,4.37,12644
4963,0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93,961
25145,0.74,Ideal,D,VS2,61.4,58.0,5.8,5.83,3.57,3668
3883,1.1,Very Good,E,SI2,60.9,60.0,6.61,6.66,4.04,4539
159,0.51,Ideal,E,SI1,62.4,55.0,5.14,5.09,3.19,1443
21570,2.54,Very Good,I,SI2,63.4,56.0,8.68,8.64,5.49,12095
22113,1.05,Ideal,F,VS1,62.3,55.0,6.53,6.5,4.06,8100
25175,0.7,Fair,I,VS1,60.2,66.0,5.77,5.62,3.44,2234
10264,0.91,Premium,H,VS1,61.0,59.0,6.25,6.18,3.79,4670
20918,1.03,Ideal,F,SI2,62.3,56.0,6.51,6.43,4.03,4268
10087,0.41,Ideal,D,SI1,62.7,56.0,4.78,4.73,2.98,1015
1206,0.3,Premium,G,VVS1,62.6,58.0,4.29,4.27,2.68,1013
14242,0.31,Premium,H,VVS1,60.5,58.0,4.4,4.43,2.67,707
24113,0.49,Premium,G,SI1,62.4,58.0,5.05,4.99,3.13,1072
13712,0.72,Premium,H,SI1,62.5,57.0,5.73,5.67,3.56,2398
21899,1.0,Premium,G,VS1,61.9,60.0,6.39,6.31,3.93,5242
8278,0.73,Ideal,E,VS2,62.7,56.0,5.75,5.8,3.62,3077
10813,1.07,Ideal,G,VVS2,61.9,56.0,6.6,6.62,4.09,9169
16532,1.01,Fair,D,VS2,59.1,68.0,6.56,6.44,3.84,5797
7903,1.05,Premium,G,SI1,60.3,57.0,6.64,6.59,3.99,4974
234,0.3,Ideal,F,VVS2,61.7,56.0,4.32,4.34,2.67,694
10912,0.35,Ideal,J,VS1,62.6,53.7,4.51,4.54,2.83,483
10612,1.0,Ideal,G,VS1,62.9,57.0,6.36,6.32,3.99,6290
16522,0.56,Ideal,F,VVS2,61.1,56.0,5.35,5.37,3.27,2522
13575,0.8,Fair,G,SI2,67.1,56.0,5.76,5.73,3.85,2400
1545,1.31,Very Good,E,VS2,63.1,56.0,6.95,6.9,4.37,10094
6818,0.91,Good,I,SI2,60.2,59.0,6.24,6.29,3.77,3034
18427,1.01,Premium,D,VS1,61.8,54.0,6.44,6.38,3.96,8201
2456,0.58,Ideal,H,IF,61.6,57.0,5.34,5.37,3.3,2211
21896,1.61,Premium,F,SI1,62.9,59.0,7.5,7.43,4.69,8024
3436,0.91,Very Good,F,SI1,62.3,60.0,6.08,6.15,3.81,4049
26470,2.1,Premium,I,SI1,61.5,59.0,8.28,8.24,5.08,15818
26276,0.31,Ideal,D,SI2,62.0,56.0,4.35,4.33,2.69,593
18038,1.52,Premium,F,VS1,61.0,58.0,7.42,7.39,4.52,15522
26081,0.33,Ideal,G,VS1,62.9,57.0,4.43,4.38,2.77,854
9780,0.7,Premium,G,SI2,61.8,61.0,5.66,5.63,3.49,2056
7977,0.7,Very Good,D,SI1,62.4,57.0,5.64,5.67,3.53,3075
9659,1.19,Premium,H,VS2,61.1,58.0,6.83,6.78,4.16,6944
6643,0.3,Premium,H,VS1,62.6,59.0,4.3,4.26,2.68,675
4910,0.3,Premium,E,VS1,61.4,59.0,4.32,4.28,2.64,814
4110,1.07,Ideal,H,VS2,63.6,59.0,6.46,6.42,4.09,5698
11675,0.5,Premium,E,VS2,61.4,58.0,5.12,5.07,3.13,1746
15150,1.5,Very Good,I,SI2,63.2,52.0,7.28,7.24,4.59,6115
18579,0.92,Fair,I,VS2,64.4,58.0,6.13,6.1,3.94,3033
21715,0.52,Ideal,H,SI2,61.0,55.0,5.19,5.23,3.18,1054
24115,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2199
7889,0.5,Very Good,H,VS1,61.0,56.0,5.1,5.13,3.12,1598
197,1.01,Very Good,G,VS1,58.8,58.0,6.52,6.61,3.86,6777
11976,1.01,Good,E,SI1,63.3,55.0,6.37,6.42,4.05,5499
21592,1.53,Very Good,H,SI1,61.0,61.0,7.4,7.45,4.53,10468
15217,0.3,Ideal,E,VS2,61.4,56.0,4.33,4.36,2.67,621
21260,1.25,Premium,H,SI2,60.5,61.0,6.97,6.91,4.2,4200
9340,1.0,Premium,F,VS2,62.2,57.0,6.43,6.4,3.99,6296
3887,0.23,Very Good,H,IF,63.9,55.0,3.89,3.9,2.49,369
19210,1.6,Very Good,E,SI2,62.0,57.0,7.47,7.54,4.65,9900
9621,0.3,Ideal,E,VVS1,61.2,57.0,4.33,4.36,2.66,895
17794,0.44,Premium,G,SI1,61.1,59.0,4.9,4.86,2.98,990
2320,0.56,Ideal,F,VS1,61.7,56.0,5.33,5.3,3.28,2016
17470,0.31,Ideal,F,VS2,61.9,55.0,4.31,4.35,2.68,625
12426,0.53,Ideal,D,VS2,61.1,56.0,5.28,5.24,3.21,1825
19956,1.0,Very Good,H,SI2,63.1,58.0,6.29,6.36,3.99,3975
25039,1.1,Ideal,G,VS2,62.0,56.0,6.6,6.68,4.12,6534
20548,0.77,Very Good,H,VS1,62.8,58.0,5.75,5.78,3.62,2961
6082,0.43,Premium,E,I1,58.4,62.0,5.0,4.94,2.9,713
5828,0.3,Very Good,D,VS2,61.0,57.0,4.32,4.34,2.64,568
21620,0.64,Ideal,D,VVS1,61.8,54.0,5.54,5.56,3.43,4084
17142,0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,1902
16824,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,2347
15290,1.02,Ideal,D,VVS2,62.0,56.0,6.48,6.43,4.0,11167
1233,1.01,Good,E,SI1,63.1,60.0,6.34,6.37,4.01,4912
2335,1.24,Premium,F,VS1,61.5,57.0,6.97,6.86,4.25,9333
19449,1.5,Premium,J,SI2,61.4,61.0,7.36,7.3,4.5,6750
3739,0.77,Very Good,J,VVS1,62.8,58.0,5.78,5.84,3.65,2532
12739,1.06,Ideal,H,VVS2,61.8,60.0,6.52,6.49,4.02,6698
1746,0.9,Premium,G,SI1,60.6,60.0,6.22,6.15,3.75,3407
2953,0.7,Premium,G,SI1,60.3,58.0,5.73,5.77,3.47,2170
16227,1.75,Premium,E,SI1,60.3,61.0,7.82,7.74,4.69,15394
13929,0.7,Very Good,F,SI1,60.3,59.0,5.73,5.82,3.48,2409
25865,0.7,Very Good,G,SI1,60.7,58.0,5.7,5.73,3.47,2074
20792,0.71,Ideal,G,VS2,61.6,55.0,5.74,5.78,3.55,2537
23496,1.1,Ideal,H,VS1,61.7,56.0,6.61,6.65,4.09,6630
17085,0.7,Good,G,VVS1,58.5,62.0,5.8,5.82,3.4,3380
4608,0.75,Very Good,E,SI1,62.3,58.0,5.78,5.81,3.61,2923
20183,0.71,Good,G,SI1,64.1,58.0,5.6,5.63,3.6,2240
16094,2.14,Premium,G,SI2,60.1,58.0,8.4,8.35,5.03,12792
4906,1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,7223
11910,1.04,Very Good,G,VS1,63.1,57.0,6.39,6.44,4.05,6669
14355,0.41,Very Good,G,VS2,61.0,56.0,4.81,4.83,2.94,827
20241,0.44,Good,F,SI1,63.8,54.0,4.85,4.8,3.08,970
21209,2.01,Premium,I,VS2,62.1,59.0,7.98,8.06,4.98,15379
21486,1.01,Ideal,G,SI2,61.5,57.0,6.43,6.45,3.96,4783
3400,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13063
3482,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3471
195,0.54,Ideal,F,VVS2,61.8,55.0,5.27,5.25,3.25,2333
7504,0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,767
26905,1.24,Premium,D,VS2,59.3,58.0,7.03,7.09,4.19,9738
22586,1.52,Ideal,F,VS2,62.5,55.0,7.42,7.31,4.6,14915
10306,1.2,Very Good,I,SI1,62.6,57.0,6.74,6.77,4.23,5476
15400,0.34,Premium,H,VS2,61.1,58.0,4.5,4.47,2.74,689
16929,0.78,Ideal,E,VS2,62.0,55.0,5.89,5.95,3.67,3334
5183,0.32,Ideal,D,VVS1,62.6,57.0,4.34,4.41,2.74,917
18811,0.34,Very Good,E,SI1,63.2,55.0,4.49,4.46,2.83,765
11379,0.71,Premium,H,VS1,61.2,57.0,5.83,5.77,3.55,2572
9443,1.51,Premium,F,SI1,62.3,61.0,7.29,7.22,4.52,10866
19229,0.23,Very Good,E,VVS2,61.6,61.0,3.92,3.97,2.43,505
13641,0.4,Good,E,SI1,63.2,56.0,4.65,4.69,2.95,687
4453,1.0,Very Good,E,VS2,61.9,57.0,6.35,6.38,3.94,6732
2184,1.11,Ideal,H,SI2,61.3,60.0,6.68,6.66,4.09,4520
23451,0.72,Very Good,G,SI2,60.6,57.0,5.79,5.86,3.53,2114
18007,0.52,Very Good,E,SI1,60.8,56.0,5.17,5.2,3.15,1343
26263,1.51,Premium,E,VS2,62.2,59.0,7.36,7.31,4.56,14300
21439,2.23,Premium,J,SI2,61.3,60.0,8.4,8.35,5.13,13931
8235,1.2,Very Good,J,VS1,,59.0,6.67,6.72,4.26,5257
9393,2.38,Premium,G,SI2,62.4,58.0,8.59,8.47,5.32,14648
4374,0.28,Very Good,E,VVS1,59.6,59.0,4.3,4.33,2.57,642
2046,0.31,Ideal,F,VS2,62.6,57.0,4.29,4.33,2.7,625
19472,0.53,Very Good,D,SI1,59.1,59.0,5.27,5.33,3.13,1415
5549,0.58,Premium,E,SI1,60.7,61.0,5.47,5.27,3.28,1641
3492,0.77,Very Good,J,SI2,61.3,58.0,5.84,5.91,3.6,2001
22373,1.02,Premium,G,VVS2,62.6,59.0,6.41,6.46,4.03,7602
9506,0.94,Very Good,F,SI2,62.6,57.0,6.25,6.27,3.92,3938
3152,0.41,Ideal,D,VS1,61.2,57.0,4.77,4.81,2.93,1018
9501,0.5,Ideal,H,IF,61.1,58.0,5.1,5.14,3.13,1844
1552,0.35,Ideal,F,VS2,62.1,57.0,4.55,4.53,2.82,906
1340,1.0,Ideal,E,SI2,61.8,57.0,6.43,6.39,3.96,4829
9886,0.59,Premium,H,SI1,,58.0,5.42,5.35,3.36,1265
19030,1.2,Premium,H,SI2,62.3,58.0,6.81,6.76,4.23,5376
3042,0.34,Ideal,E,SI2,62.4,57.0,4.5,4.47,2.8,612
9544,0.74,Ideal,G,VS1,60.9,55.0,5.84,5.91,3.58,3635
15466,0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,641
16629,2.26,Premium,H,SI2,61.9,58.0,8.37,8.33,5.17,11226
12354,0.73,Premium,G,SI1,62.8,59.0,5.76,5.68,3.59,2351
13487,1.1,Very Good,H,VS2,63.1,57.0,6.6,6.52,4.14,5729
3369,1.0,Fair,F,SI2,65.7,61.0,6.13,6.11,4.02,3443
4494,0.53,Ideal,H,VS1,61.6,57.0,5.18,5.24,3.21,1577
9371,1.42,Premium,H,SI2,61.6,58.0,7.22,7.17,4.43,7316
1016,0.61,Very Good,E,VS2,60.0,57.0,5.52,5.55,3.32,2036
19729,1.58,Premium,D,SI1,62.7,60.0,7.41,7.37,4.63,13995
24446,1.11,Fair,H,SI1,65.7,61.0,6.42,6.39,4.21,5178
3337,1.7,Premium,H,VS2,62.4,57.0,7.6,7.54,4.72,13298
17378,1.53,Ideal,F,SI1,61.5,56.0,7.38,7.42,4.56,12616
26515,1.55,Premium,H,VS2,60.7,58.0,7.51,7.47,4.55,11567
20036,1.19,Premium,J,VS2,62.8,57.0,6.78,6.7,4.23,4761
24315,0.31,Ideal,D,VVS1,62.1,54.0,4.34,4.36,2.7,934
18209,1.02,Good,H,SI1,,58.0,6.36,6.39,4.05,4604
10727,0.5,Ideal,F,VS1,61.6,57.0,5.07,5.09,3.13,1695
6092,0.34,Premium,G,IF,60.5,58.0,4.47,4.52,2.72,879
14328,1.0,Very Good,F,VS2,61.1,60.0,6.36,6.43,3.91,6619
15643,1.56,Ideal,H,VS2,61.6,57.0,7.51,7.45,4.61,11922
11125,1.21,Very Good,G,VVS2,62.9,59.0,6.68,6.74,4.22,9358
18037,1.0,Ideal,E,SI1,61.4,58.0,6.41,6.43,3.94,5555
8974,1.51,Premium,G,SI1,60.6,60.0,7.45,7.41,4.5,10267
6970,0.3,Very Good,H,SI1,60.1,55.0,4.38,4.41,2.64,432
5255,0.91,Very Good,G,SI2,63.2,61.0,6.27,6.01,3.88,3282
3292,2.16,Very Good,H,SI2,62.3,60.0,8.19,8.31,5.14,14824
11307,0.57,Premium,D,SI1,63.0,59.0,5.27,5.23,3.31,1949
7138,1.01,Ideal,H,SI1,62.4,53.0,6.42,6.47,4.02,4559
10942,0.46,Very Good,F,VS2,59.9,55.0,5.06,5.08,3.04,1258
2521,0.73,Premium,F,SI1,60.6,59.0,5.81,5.77,3.51,2190
15801,0.3,Premium,H,VVS1,60.7,58.0,4.38,4.35,2.65,796
23991,1.04,Premium,E,VVS1,62.5,59.0,6.46,6.41,4.02,10539
20023,0.36,Ideal,D,SI2,62.0,56.0,4.56,4.6,2.84,537
14247,0.35,Premium,F,VS2,62.0,59.0,4.51,4.55,2.81,706
18727,0.4,Ideal,G,VVS1,62.0,56.0,4.73,4.76,2.94,1043
17346,0.3,Ideal,E,VVS2,60.8,57.0,4.33,4.35,2.64,742
620,0.39,Ideal,E,VS2,61.4,56.0,4.68,4.74,2.89,796
24600,1.58,Premium,G,VVS2,62.4,56.0,7.5,7.4,4.65,14855
8371,1.39,Good,F,SI2,63.8,55.0,7.05,7.08,4.51,6969
18768,2.4,Very Good,I,SI2,60.6,58.5,8.59,8.67,5.24,17955
3065,0.51,Premium,I,SI1,62.7,59.0,5.06,5.09,3.18,984
1092,1.5,Premium,J,VS2,59.6,60.0,7.38,7.31,4.38,7503
18407,1.4,Very Good,I,VS1,61.6,59.0,7.17,7.22,4.43,7584
8941,0.55,Very Good,E,SI1,63.0,59.0,5.25,5.17,3.28,1406
9369,0.31,Ideal,H,VVS1,61.5,54.0,4.39,4.36,2.69,907
4213,0.37,Very Good,G,VS1,63.1,56.0,4.59,4.57,2.89,957
26491,0.5,Premium,F,SI1,62.5,59.0,5.03,4.99,3.13,1409
24403,0.41,Ideal,J,SI2,62.5,54.0,4.78,4.79,2.99,731
2503,0.34,Ideal,H,VS2,61.7,57.0,4.48,4.46,2.76,689
3082,1.01,Very Good,G,VS2,60.2,58.0,6.51,6.54,3.93,6213
8550,0.7,Very Good,E,VVS1,63.2,57.0,5.62,5.67,3.57,4644
17267,2.03,Ideal,J,VS2,60.5,57.0,8.26,8.2,4.98,14083
17243,0.36,Premium,E,VS1,61.5,59.0,4.57,4.6,2.82,727
26149,0.9,Very Good,E,SI2,63.4,60.0,6.07,6.02,3.83,3342
5132,0.33,Ideal,I,VVS2,62.4,57.0,4.41,4.44,2.76,579
26469,0.38,Very Good,I,VS2,61.7,56.0,4.65,4.68,2.88,680
